Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula
695,AB2,GdRu2,1.0,-45.8,200.0,0.7,"Shaltiel, 1977",14.0,,,,GdRu2
696,AB2,GdRu2,1.0,60.0,225.0,3.0,"Shaltiel, 1979",361.0,,,,GdRu2
702,AB2,HfTi2,2.1,-10.5,300.0,1.0,"Kozhanov, 1998",1240.0,,,,HfTi2
705,AB2,HfV2,1.1,-12.5,300.0,1.2,"Beck, 1962",45.0,,,,HfV2
706,AB2,Ho0.6Zr0.4Co2,5.2,30.0,27.0,0.06,"Ramesh, 1991",682.0,,,,Ho.6Zr.4Co2
707,AB2,Ho0.6Zr0.4Co2,1.0,33.0,50.0,0.2,"Ramesh, 1993",363.0,,,,Ho.6Zr.4Co2
709,AB2,Ho0.8Zr0.2Co2,6.5,13.0,27.0,0.06,"Ramesh, 1991",682.0,,,,Ho.8Zr.2Co2
710,AB2,Ho0.8Zr0.2Co2,1.2,25.0,50.0,0.2,"Ramesh, 1993",363.0,,,,Ho.8Zr.2Co2
711,AB2,Ho0.8Zr0.2Fe2,0.85,24.0,350.0,150.0,"Kesavan, 1996",681.0,,,,Ho.8Zr.2Fe2
712,AB2,HoCo2,1.3,-34.5,450.0,0.0,"Burnasheva, 1979",519.0,,,,HoCo2
716,AB2,HoRu2,1.1,-35.2,155.0,1.0,"Shilov, 1981",530.0,,,,HoRu2
720,AB2,LaMg2,2.1,-120.0,450.0,1.5,"Shaltiel, 1978",66.0,,,,LaMg2
723,AB2,LaMnAl,1.2,-56.4,21.0,15.0,"Gross, 1996",630.0,,,,LaMnAl (M)
724,AB2,LaNi2,1.1,-15.2,450.0,0.0,"Guidotti, 1977",105.0,,,,LaNi2
725,AB2,LaNi2,1.6,-10.5,350.0,10.5,"Mikheeva, 1978",535.0,,,,LaNi2
730,AB2,LaPt2,0.45,-22.5,450.0,1.0,"Shaltiel, 1977",14.0,,,,LaPt2
731,AB2,LaRh2,1.4,-45.2,200.0,0.7,"Shaltiel, 1977",14.0,,,,LaRh2
732,AB2,LaRh2,1.4,44.3,244.0,2.0,"Shaltiel, 1979",361.0,,,,LaRh2 (M)
733,AB2,LaRu2,1.3,-10.5,200.0,1.0,"Shaltiel, 1977",14.0,,,,LaRu2
734,AB2,LiPd2,0.8,51.0,300.0,0.16,"Sakamoto, 1995",411.0,,,,LiPd2
738,AB2,LuNi2,1.4,-54.3,500.0,2.5,"Buschow, 1980",56.0,,,,LuNi2
740,AB2,MgCu2,0.0,-29.5,250.0,12.5,"Reilly, 1967",87.0,,,,MgCu2
741,AB2,MgNi2,0.0,-23.5,300.0,1.0,"Reilly, 1968",88.0,,,,MgNi2
742,AB2,YMgNi4,1.05,35.8,40.0,4.0,"Aono, 2000",1273.0,,,,MgYNi4
746,AB2,NdFe2,1.1,-115.4,520.0,1.2,"Burnasheva, 1977",520.0,,,,NdFe2
749,AB2,PrCo2,1.5,67.0,100.0,0.001,"Clinton, 1975",102.0,,,,PrCo2
750,AB2,Zr0.05Ti0.95Mn0.8Cr1.2,1.8,-32.5,20.0,45.0,"Hagstrom, 1999",1191.0,,,,Ti.95Zr.05Cr1.2Mn.8
751,AB2,Zr0.05Ti0.95Mn1.45Al0.5,1.4,-16.8,25.0,21.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.45Al.5
752,AB2,Zr0.05Ti0.95Mn1.45Co0.5,1.9,-45.2,25.0,32.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.45Co.5
753,AB2,Zr0.05Ti0.95Mn1.45Cr0.5,1.9,-88.7,25.0,28.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.45Cr.5
754,AB2,Zr0.05Ti0.95Mn1.45Ni0.5,1.9,-45.8,25.0,36.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.45Ni.5
755,AB2,Zr0.05Ti0.95Mn1.45V0.5,2.0,-28.5,25.0,20.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.45V.5
756,AB2,Zr0.05Ti0.95Mn1.48Al0.01V0.43Fe0.08,1.9,-60.5,20.0,6.0,"Skripnyuk, 1999",1262.0,,,,Ti.95Zr.05Mn1.48V.43Fe.08Al.01
757,AB2,Zr0.05Ti0.95Mn1.95,1.9,-23.5,25.0,29.0,"Bobet, 2000",1239.0,,,,Ti.95Zr.05Mn1.95
759,AB2,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,1.9,27.4,20.0,9.0,"Bernauer, 1989",341.0,,,,Ti.98Zr.02Mn1.5V.43Fe.09Cr.05
760,AB2,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,1.6,23.3,20.0,20.0,"Hahne, 1998",850.0,,,,Ti.98Zr.02V.43Fe.09Cr.05Mn1.5
761,AB2,Zr0.15Ti0.9Mn1.6V0.2Cr0.2,2.1,15.4,25.0,7.0,"Xu, 2001",1290.0,,,,Ti.9Zr.15Mn1.6Cr.2V.2
763,AB2,Zr0.1Ti0.9Mn1.4Cr0.45Fe0.15,2.2,-72.5,20.0,60.0,"Verbetsky, 1998",1219.0,,at -78C,,Ti.9Zr.1Mn1.4Cr.45Fe.15
764,AB2,Zr0.1Ti0.9Mn1.4V0.2Cr0.4,1.7,-20.5,27.0,6.0,"Morita, 1997",647.0,,,,Ti.9Zr.1Mn1.4Cr.4V.2
765,AB2,Zr0.1Ti0.9Mn1.4V0.2Cr0.4C0.03,1.7,-27.5,27.0,10.0,"Morita, 1997",647.0,,,,Ti.9Zr.1Mn1.4Cr.4V.2C.03
766,AB2,Zr0.1Ti0.9Mn1.4V0.2Cr0.4S0.03,1.7,-60.5,5.0,3.0,"Morita, 1997",647.0,,,,Ti.9Zr.1Mn1.4Cr.4V.2S.03
767,AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2,2.1,25.5,25.0,3.0,"Xu, 2001",1290.0,VFe=ferrovanadium,,,Ti.9Zr.2Mn1.4Cr.4(VFe).2
768,AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4,2.1,26.7,25.0,1.9,"Xu, 2001",1290.0,,,,Ti.9Zr.2Mn1.4Cr.4V.2
769,AB2,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2,2.1,30.0,25.0,7.0,"Xu, 2001",1290.0,VFe=ferrovanadium,,,Ti.9Zr.2Mn1.6Cr.2(VFe).2
770,AB2,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2,2.0,23.2,25.0,3.6,"Xu, 2001",1290.0,VFe=ferrovanadium,,,Ti.9Zr.2Mn1.6Ni.2(VFe).2
771,AB2,Zr0.2Ti0.9Mn1.6V0.2Ni0.2,2.1,31.7,25.0,2.7,"Xu, 2001",1290.0,,,,Ti.9Zr.2Mn1.6Ni.2V.2
772,AB2,Zr0.2Ti0.9Mn1.8V0.2Fe0.2,2.0,29.1,25.0,3.0,"Xu, 2001",1290.0,VFe=ferrovanadium,,,Ti.9Zr.2Mn1.8(VFe).2
773,AB2,Zr0.2Ti0.9Mn1.8V0.2,2.1,26.0,25.0,3.0,"Xu, 2001",1290.0,,,,Ti.9Zr.2Mn1.8V.2
774,AB2,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05,2.0,15.2,20.0,0.06,"Au, 1995",860.0,,,,Ti.9Zr.3Mn1.3Cu.05Mo.05V.2Cr.2
775,AB2,Zr0.15Ti0.85Mn1V0.1Cr0.8Cu0.1,1.7,-45.8,30.0,13.0,"Liu, 1996",690.0,,,,Ti0.85Zr.15MnCr.8V.1Cu.1
778,AB2,Zr0.1Ti0.9Mn1.4V0.2Cr0.4,1.8,-23.5,30.0,13.0,"Liu, 1996",690.0,,,,Ti0.9Zr.1Mn1.4Cr.4V.2
779,AB2,Zr0.1Ti0.9Mn1V0.1Cr0.9,1.7,22.5,30.0,24.0,"Liu, 1996",690.0,,,,Ti0.9Zr.1MnCr.9V.1
781,AB2,Ti1.2Mn0.1Cr1.9,1.8,20.1,-10.0,19.4,"Osumi, 1983",40.0,,,,Ti1.2Cr1.9Mn.1
782,AB2,Ti1.2Mn1Cr1,2.0,25.5,-10.0,5.7,"Osumi, 1983",40.0,,,,Ti1.2CrMn
792,AB2,TiBe2,4.4,-51.2,22.0,1.0,"Maeland, 1983",362.0,,,,TiBe2
794,AB2,Ti1V0.8Cr1.2,3.4,-28.5,450.0,101.3,"Jacob, 1981",459.0,,,,TiCr1.2V.8
795,AB2,Ti1V0.6Cr1.4,2.3,-35.2,450.0,101.3,"Jacob, 1981",459.0,,,,TiCr1.4V.6
796,AB2,Ti1Cr1.7Fe0.1,3.2,-15.2,-78.0,1013.0,"Verbetsky, 1999",1281.0,,at -78C,No plateau,TiCr1.7Fe.1
798,AB2,Ti1Cr1.8,1.9,19.7,-32.0,20.0,"Beeri, 1999",1258.0,,,,TiCr1.8
799,AB2,Ti1Cr1.8,2.43,20.2,-20.0,40.0,"Johnson, 1978",335.0,,,,TiCr1.8 (M)
800,AB2,Ti1Cr1.8Mo0.2,2.6,-15.2,-40.0,1.0,"Kabutomori, 1995",479.0,,,,TiCr1.8Mo.2
801,AB2,Ti1V0.2Cr1.8,2.9,-15.2,-40.0,0.2,"Kabutomori, 1995",479.0,,,,TiCr1.8V.2
802,AB2,TiCr2,0.4,-45.0,350.0,1013.0,"Beck, 1962",45.0,,,,TiCr2
803,AB2,TiCr2,0.8,23.0,20.0,40.0,"Machida, 1978",371.0,,,,TiCr2
804,AB2,TiCr2,1.3,-80.5,300.0,1.5,"Jacob, 1980",65.0,,,,TiCr2
805,AB2,TiCr2,1.3,-45.2,-16.0,30.0,"Reilly, 1976",490.0,,,,TiCr2
806,AB2,TiCr2,1.8,29.7,-40.0,2.0,"Kabutomori, 1995",479.0,,,,TiCr2
808,AB2,TiMnCr,0.25,24.0,0.0,18.0,"Andreev, 1984",684.0,,,,TiCrMn
809,AB2,TiMnCr,1.7,-17.5,-16.0,15.0,"Reilly, 1976",490.0,,,,TiCrMn
810,AB2,TiMnCr,2.1,19.6,40.0,190.0,"Beeri, 2000",1269.0,,at T=-60C,,TiCrMn
811,AB2,Ti1Mn0.85V0.15Cr1Fe0.3,1.6,20.9,20.0,6.0,"Hagstrom, 1998",1242.0,,,,TiCrMn.85Fe.3V.15
813,AB2,Ti1Mn1.25Cr0.25,2.1,-15.8,20.0,6.0,"Hong, 1991",365.0,,,,TiMn1.25Cr.25
814,AB2,Ti1Mn1.28V0.6Fe0.15,2.15,-35.2,20.0,8.0,"Bernauer, 1984",521.0,,,,TiMn1.28V.6Fe.15
815,AB2,Ti1Mn1.2Fe0.37,1.4,-15.8,10.0,9.0,"Gamo, 1980",36.0,,,,TiMn1.2Fe.37
816,AB2,Ti1Mn1.2V0.8,2.1,-20.5,50.0,4.5,"Bernauer, 1984",521.0,,,,TiMn1.2V.8
817,AB2,Ti1Mn1.3Fe0.11,1.7,32.7,24.0,6.0,"Gamo, 1980",36.0,,,,TiMn1.3Fe.11
818,AB2,Ti1Mn1.45Al0.5,1.5,-6.85,25.0,22.0,"Bobet, 2000",1284.0,,,,TiMn1.45Al.5
819,AB2,Ti1Mn1.45Co0.5,1.9,-37.2,25.0,32.0,"Bobet, 2000",1284.0,,,,TiMn1.45Co.5
820,AB2,Ti1Mn1.45Cr0.5,1.9,-48.3,25.0,38.0,"Bobet, 2000",1284.0,,,,TiMn1.45Cr.5
821,AB2,Ti1Mn1.45Ni0.5,1.9,-45.2,25.0,36.0,"Bobet, 2000",1284.0,,,,TiMn1.45Ni.5
822,AB2,Ti1Mn1.45V0.5,2.1,-50.8,25.0,20.0,"Bobet, 2000",1284.0,,,,TiMn1.45V.5
823,AB2,Ti1Mn1.4Fe0.11,1.7,-15.8,0.0,4.5,"Gamo, 1980",36.0,,,,TiMn1.4Fe.11
824,AB2,Ti1Mn1.4Ni0.1,0.65,28.0,0.0,2.0,"Andreev, 1984",684.0,,,,TiMn1.4Ni.1
825,AB2,Ti1Mn1.4V0.62,2.15,-15.2,20.0,3.5,"Bernauer, 1984",521.0,,,,TiMn1.4V.62
826,AB2,Ti1Mn1.5,0.25,27.0,0.0,5.0,"Andreev, 1984",684.0,,,,TiMn1.5
827,AB2,Ti1Mn1.5,1.5,-15.2,22.0,5.0,"Singh, 2001",1293.0,,,,TiMn1.5
828,AB2,Ti1Mn1.5,1.9,28.7,20.0,7.0,"Gamo, 1981",31.0,,,,TiMn1.5
829,AB2,Ti1Mn1.5,1.9,27.9,0.0,1.8,"Andreev, 1982",522.0,,,,TiMn1.5
830,AB2,Ti1Mn1.5V0.45Fe0.1,1.32,-39.5,60.0,9.0,"Hagstrom, 1998",1242.0,Hydralloy C0,,,TiMn1.5V.45Fe.1
831,AB2,Ti1Mn1.95,2.0,-45.2,25.0,31.0,"Bobet, 2000",1284.0,,,,TiMn1.95
833,AB2,TiMn2,1.7,24.6,0.0,20.0,"Klyamkin, 1994",688.0,,,,TiMn2
835,AB2,Ti1Mn1V0.5,2.6,-25.4,25.0,0.2,"Yu, 1997",821.0,,,,TiMnV.5 (M)
836,AB2,Ti1Mn1V0.9Cr0.1,2.45,-15.3,45.0,0.8,"Bernauer, 1984",521.0,,,,TiMnV.9Cr.1
839,AB2,Zr0.79Ti0.21Mn1Fe1.02,1.5,33.0,30.0,1.5,"Uchida, 1986",370.0,,,,Zr.79Ti.21MnFe1.02
840,AB2,Ce0.3Zr0.7Mn2,1.6,-37.5,100.0,0.6,"Wallace, 1983",528.0,,,,Zr.7Ce.3Mn2 (M?)
842,AB2,Zr0.7Ti0.3Mn0.3V0.4Cr0.3Ni1,1.8,-25.8,50.0,0.2,"Kim, 1999",1264.0,,,Sloping plateau,Zr.7Ti.3Cr.3Mn.3V.4Ni1.0
843,AB2,Zr0.7Ti0.3Cr0.6Fe1.4,1.5,22.0,23.0,7.0,"Wallace, 1985",1169.0,,,,Zr.7Ti.3Cr.6Fe1.4
844,AB2,Zr0.7Ti0.3Cr1Fe1,1.7,30.0,23.0,0.8,"Yu, 1985",555.0,,,,Zr.7Ti.3CrFe
845,AB2,Zr0.7Ti0.3Mn2,1.7,-55.2,30.0,0.1,"Fujii, 1981",18.0,,,,Zr.7Ti.3Mn2
846,AB2,Zr0.7Ti0.3Mn2Fe0.8,0.8,14.0,25.0,2.6,"Sinha, 1982",20.0,,,,Zr.7Ti.3Mn2Fe.8
847,AB2,Zr0.7Ti0.3Mn1Fe1,1.7,10.0,23.0,2.0,"Sinha, 1982",25.0,,,,Zr.7Ti.3MnFe
848,AB2,Zr0.7Ti0.3Mn0.3V0.4Cr0.3Ni1,1.7,-123.5,30.0,0.1,"Liu, 1997",818.0,,,,Zr.7Ti.3Ni1.0V.4Mn.3Cr.3
849,AB2,Ce0.2Zr0.8Mn2,1.6,-45.0,100.0,0.25,"Wallace, 1983",528.0,,,,Zr.8Ce.2Mn2
850,AB2,Zr0.8Ti0.2Cr0.6Fe1.4,1.6,27.0,23.0,3.0,"Wallace, 1985",1169.0,,,,Zr.8Ti.2Cr.6Fe1.4
851,AB2,Zr0.8Ti0.2Mn1Cr1.25,1.8,-9.8,65.0,0.08,"Sinha, 1985",554.0,,,,Zr.8Ti.2Cr1.25Mn
853,AB2,Zr0.8Ti0.2V0.2Cr1Co0.8,1.7,-54.3,150.0,4.0,"Bououdina, 1997",649.0,,,,Zr.8Ti.2CrCo.8V.2
854,AB2,Zr0.8Ti0.2Mn1Fe1,1.4,30.0,30.0,1.6,"Park, 1991",562.0,,,,Zr.8Ti.2FeMn
856,AB2,Zr0.8Ti0.2Mn0.6Ni1.4,0.8,-45.2,25.0,21.0,"Hsu, 2000",1276.0,,,,Zr.8Ti.2Mn.6Ni1.4
857,AB2,Zr0.8Ti0.2Mn1Fe1,1.7,11.0,23.0,1.0,"Sinha, 1982",25.0,,,,Zr.8Ti.2MnFe
859,AB2,Zr0.8Ti0.2V0.6Co0.2Ni1.2,1.8,-45.2,67.0,4.0,"Chen, 1997",820.0,,,,Zr.8Ti.2Ni1.2V.6Co.2
860,AB2,Zr0.8Ti0.2Mn0.2V0.6Ni1.2,1.8,-15.8,67.0,1.0,"Chen, 1997",820.0,,,,Zr.8Ti.2Ni1.2V.6Mn.2
861,AB2,Zr0.8Ti0.2V0.6Ni1.2Mo0.2,1.8,-45.2,67.0,3.0,"Chen, 1997",820.0,,,,Zr.8Ti.2Ni1.2V.6Mo.2
862,AB2,Zr0.8Ti0.2V0.6Si0.2Ni1.2,1.9,-45.6,67.0,2.0,"Chen, 1997",820.0,,,,Zr.8Ti.2Ni1.2V.6Si.2
865,AB2,Zr0.9Ti0.1Mn0.644V0.46Ni1.104,0.7,-45.2,30.0,0.1,"Kim, 1999",1250.0,y=0.84-1.0,,sloping plateaux,Zr.9Ti.1(Mn.7V.5Ni1.2)0.92
867,AB2,Zr0.9Ti0.1Cr0.55Fe1.45,1.6,1.03,10.0,2.0,"Park, 2001",1292.0,,,,Zr.9Ti.1Cr.55Fe1.45
869,AB2,Zr0.9Ti0.1V0.2Cr1Co0.8,1.7,-25.3,150.0,4.0,"Bououdina, 1997",649.0,,,,Zr.9Ti.1CrCo.8V.2
870,AB2,Zr0.9Ti0.1Cr1Fe1,1.6,-15.8,30.0,0.2,"Park, 1993",687.0,,,,Zr.9Ti.1CrFe
871,AB2,Zr0.9Ti0.1V0.2Cr1Fe0.8,1.8,-35.2,150.0,2.0,"Bououdina, 1997",649.0,,,,Zr.9Ti.1CrFe.8V.2
873,AB2,Zr0.9Ti0.1V0.2Cr1Ni0.8,1.8,-25.4,150.0,2.0,"Bououdina, 1997",649.0,,,,Zr.9Ti.1CrNi.8V.2
874,AB2,Zr0.9Ti0.1Mn0.6V0.2Co0.1Ni1.1,1.6,-21.5,40.0,0.5,"Liu, 2000",1266.0,,,,Zr.9Ti.1Mn.6V.2Co.1Ni1.1
875,AB2,Zr0.9Ti0.1Mn1Fe1,1.5,-45.2,30.0,0.6,"Park, 1993",687.0,,,,Zr.9Ti.1MnFe
876,AB2,Zr0.9Ti0.1Mn0.6V0.2Co0.1Ni1.1,1.6,-65.2,40.0,0.7,"Suda, 1998",861.0,,,,Zr.9Ti.1Ni1.1Mn.6V.2Co.1
877,AB2,Zr0.9Ti0.1Mn0.6V0.2Co0.1Ni1.1,1.5,-45.2,40.0,0.8,"Gao, 1998",855.0,,,,Zr.9Ti.1Ni1.1V.2Mn.6Co.1
878,AB2,La0.05Zr0.9Ti0.1Mn0.6V0.2Ni1.3,1.4,-45.8,40.0,1.2,"Gao, 1998",855.0,,,,Zr.9Ti.1Ni1.3V.2Mn.6La.05
879,AB2,Zr0.9Ti0.1Mn0.6V0.2Co0.1Ni1.1,1.5,-89.5,40.0,4.0,"Suda, 1999",1263.0,,,,Zr.9Ti.1V.2Mn.6Co.1Ni1.1
880,AB2,Zr0.9Ti0.1V0.5Fe1.5,1.5,-75.0,50.0,0.2,"Park, 1993",687.0,,,,Zr.9Ti.1V.5Fe1.5
894,AB2,ZrAl2,0.35,-216.0,20.0,0.1,"Jacob, 1978",16.0,,,,ZrAl2
895,AB2,ZrBe2,2.1,-52.3,22.0,0.01,"Maeland, 1983",362.0,,,,ZrBe2
896,AB2,Zr1Al0.5Co1.5,1.0,-45.3,20.0,0.4,"Jacob, 1978",16.0,,,,ZrCo1.5Al.5
898,AB2,Zr1V0.5Co1.5,1.5,34.3,50.0,1.5,"Shaltiel, 1977",14.0,,,,ZrCo1.5V.5
900,AB2,ZrCo2,0.1,-45.2,450.0,1.2,"Padurets, 1978",513.0,,,,ZrCo2
902,AB2,ZrCrCo,1.6,40.2,50.0,0.7,"Shaltiel, 1977",14.0,,,,ZrCoCr
903,AB2,ZrVCo,1.8,49.4,50.0,0.0023,"Shaltiel, 1977",14.0,,,,ZrCoV
904,AB2,Zr1V0.2Cr0.8Co1,1.5,-45.3,100.0,2.0,"Soubeyroux, 1999",1261.0,y=0-1,,,ZrCoV.2Cr.8
906,AB2,Zr1Cr0.6Fe1.4,1.5,27.0,23.0,0.8,"Wallace, 1985",1169.0,,,,ZrCr.6Fe1.4
907,AB2,Zr1V0.4Cr0.8Co0.8,1.8,-40.5,130.0,1.0,"Bououdina, 1996",585.0,,,,ZrCr.8Co.8V.4
908,AB2,Zr1Cr1.2Fe0.8,1.4,50.2,70.0,0.75,"Boulghallat, 1993",375.0,(+ Fe1.2 & Fe1.5),,,ZrCr1.2Fe.8
909,AB2,Zr1Cr1.2Ni0.8,2.0,56.4,70.0,0.25,"Boulghallat, 1993",375.0,,,,ZrCr1.2Ni.8
910,AB2,Zr1Cr1.75Ge0.25,1.3,-85.2,200.0,1.0,"Drasner, 1993",583.0,,,,ZrCr1.75Ge.25
913,AB2,ZrCr2,1.8,-23.5,450.0,1.2,"Beck, 1962",45.0,,,,ZrCr2
914,AB2,ZrCr2,1.8,42.0,27.0,0.003,"Pebler, 1967",13.0,,,,ZrCr2
915,AB2,ZrCr2,1.8,-45.8,100.0,0.3,"Perevesenzew, 1988",557.0,,,,ZrCr2
920,AB2,ZrCr2,2.0,-32.5,420.0,15.0,"Shaltiel, 1977",14.0,,,,ZrCr2
921,AB2,ZrCr2,2.1,-96.5,520.0,1.0,"Jacob, 1980",65.0,,,,ZrCr2
923,AB2,Zr1Cr2Co0.8,1.0,45.3,100.0,2.0,"Drasner, 1991",564.0,,,,ZrCr2Co.8
924,AB2,ZrMo2,1.0,22.0,-78.0,0.4,"Semenko, 1996",1154.0,,,,ZrMo2 (M)
925,AB2,ZrCrMo,1.3,27.6,25.0,0.2,"Mitrokhin, 1981",1148.0,,,sloping plateau,ZrMoCr
926,AB2,Zr1Cr0.8Ni1.2,1.6,-12.5,25.0,0.4,"Sun, 1996",689.0,,,,ZrNi1.2Cr.8
927,AB2,La0.05Zr1Cr0.8Ni1.2,1.7,-45.3,25.0,0.2,"Sun, 1996",689.0,,,,ZrNi1.2Cr.8La.05
928,AB2,Zr1Mn0.5V0.1Cr0.2Ni1.2,1.6,-102.5,70.0,3.0,"Moriwaki, 1991",367.0,,,,ZrNi1.2Mn.5Cr.2V.1
929,AB2,Zr1Mn0.6Cr0.2Ni1.2,1.45,-7.8,70.0,4.5,"Moriwaki, 1991",367.0,,,,ZrNi1.2Mn.6Cr.2
932,AB2,Zr1Mn0.5V0.5Ni1.4,1.6,-21.3,30.0,0.3,"Kim, 1998",827.0,,,,ZrNi1.4Mn.5V.5
933,AB2,ZrAlNi,0.3,-24.8,40.0,0.001,"Yoshida, 1995",622.0,,,,ZrNiAl
935,AB2,Zr1Mn0.5V0.7Ni1.2,1.6,-45.3,60.0,0.1,"Lee, 1999",1265.0,,,,ZrV.7Mn.5Ni1.2
950,AB5,CaNi4B,1.2,55.7,27.0,0.01,"Oesterreicher, 1980",43.0,,,,CaNi4B
951,AB5,CaNi5,4.8,42.0,22.0,0.08,"Yagisawa, 1984",671.0,Lowest plateau only,,,CaNi5
952,AB5,CaNi5,0.3,62.0,22.0,0.04,"Yagisawa, 1984",671.0,Lowest plateau only,,,CaNi5
953,AB5,CaNi5,1.2,33.9,25.0,0.7,"Nahm, 1990",252.0,,,,CaNi5
954,AB5,CaNi5,1.7,37.7,25.0,0.5,"Oesterreicher, 1980",43.0,,,,CaNi5 (M)
955,AB5,CaNi5,1.9,31.9,25.0,0.5,"Sandrock, 1977",106.0,,,,CaNi5 (M)
956,AB5,CaNi5,1.9,32.2,20.0,0.33,"Yoshikawa, 1982",138.0,,,,CaNi5 (M)
958,AB5,La0.5Ce0.5Cu2.5Ni2.5,1.1,22.9,23.0,2.2,"Pourarian, 1986",254.0,,,,Ce.5La.5Ni2.5Cu2.5
959,AB5,La0.5Ce0.5Ni5,1.4,-20.5,20.0,10.0,"Mordkovich, 1992",666.0,,,,Ce.5La.5Ni5
960,AB5,La0.4Ce0.6Ni5,1.5,-27.5,20.0,14.0,"Mordkovich, 1992",666.0,,,,Ce.6La.4Ni5
961,AB5,La0.4Ce0.6Ni5,1.5,22.3,25.0,28.0,"Dayan, 1981",382.0,,,,Ce.6La.4Ni5
962,AB5,La0.3Ce0.7Al0.4Ni4.6,17.8,-75.2,20.0,2.7,"Mordkovich, 1992",666.0,,,,Ce.7La.3Ni4.6Al.4
963,AB5,La0.3Ce0.7Al0.05Ni4.95,3.2,-45.3,20.0,13.0,"Mordkovich, 1992",666.0,,,,Ce.7La.3Ni4.95Al.05
964,AB5,La0.3Ce0.7Ni5,1.4,-25.8,20.0,16.0,"Mordkovich, 1992",666.0,,,,Ce.7La.3Ni5
966,AB5,La0.2Ce0.8Cu0.3Ni4.7,1.5,21.0,23.0,18.0,"Klyamkin, 1995",407.0,,,,Ce.8La.2Ni4.7Cu0.3
967,AB5,La0.2Ce0.8Ni5,1.5,23.8,23.0,30.0,"Klyamkin, 1995",407.0,,,,Ce.8La.2Ni5
969,AB5,Ce0.8Pr0.2Cu2.5Ni2.5,1.05,-104.5,23.0,11.0,"Pourarian, 1986",254.0,,,,Ce.8Pr.2Ni2.5Cu2.5
970,AB5,Ce0.2Pr0.8Co5,0.6,39.0,20.0,0.23,"Burnasheva, 1978",1517.0,,,Lower plateau,Ce0.2Pr0.8Co5 (M)
971,AB5,Ce0.4Pr0.6Co5,0.6,38.5,20.0,1.0,"Burnasheva, 1978",1517.0,,,Lower plateau,Ce0.4Pr0.6Co5 (M)
972,AB5,La0.5Ce0.5Ni5,1.4,-32.8,20.0,10.0,"Mordkovich, 1993",1525.0,,,,Ce0.5La0.5Ni5
973,AB5,Ce0.6Pr0.4Co5,0.6,38.5,20.0,1.26,"Burnasheva, 1978",1517.0,,,Lower plateau,Ce0.6Pr0.4Co5 (M)
974,AB5,La0.7Ce0.7Ni5,1.4,25.0,20.0,11.0,"Mordkovich, 1993",1525.0,,,,Ce0.7La0.7Ni5
975,AB5,La0.2Ce0.8Ni5,1.5,20.8,60.0,74.0,"Salamova, 2002",1509.0,,,,Ce0.8La0.2Ni5
976,AB5,Ce0.8Pr0.2Co5,0.6,37.0,20.0,1.42,"Burnasheva, 1978",1517.0,,,Lower plateau,Ce0.8Pr0.2Co5 (M)
979,AB5,CeCo5,0.5,40.0,20.0,1.45,"Burnasheva, 1978",1518.0,,,,CeCo5
980,AB5,CeCo5,0.65,29.0,50.0,6.0,"Kuijpers, 1972",96.0,,,,CeCo5
982,AB5,CeCo5,0.6,39.0,20.0,1.45,"Burnasheva, 1978",1517.0,,,Lower plateau,CeCo5 (M)
983,AB5,CeCo5,1.7,-45.3,21.0,1.2,"Lakner, 1980",101.0,,,,CeCo5 (M)
984,AB5,CeFe5,0.7,-57.0,100.0,1.0,"Reilly, 1972",195.0,,,,CeFe5
985,AB5,CeFe5,0.7,82.0,100.0,0.07,"Lundin, 1975",253.0,,,,CeFe5
988,AB5,Ce1Mn0.4Al0.3Co0.75Ni3.55,1.2,-45.2,25.0,4.0,"Joubert, 1998",1186.0,,,,CeNi3.55Mn.4Al.3Co.75
989,AB5,Ce1Mn0.75Ni4.25,1.4,24.7,23.0,1.1,"Pourarian, 1985",423.0,,,,CeNi4.25Mn.75
990,AB5,Ce1Al0.5Ni4.5,1.4,21.6,23.0,9.0,"Pourarian, 1985",423.0,,,,CeNi4.5Al.5
991,AB5,Ce1Mn0.5Ni4.5,1.2,25.4,23.0,7.0,"Pourarian, 1985",423.0,,,,CeNi4.5Mn.5
992,AB5,CeNi5,1.4,14.2,25.0,50.0,"Lundin, 1977",149.0,,,,CeNi5
993,AB5,CeNi5,1.5,22.2,23.0,80.0,"Klyamkin, 1995",407.0,,,,CeNi5
